ISO,Country,Region,Variable,LGA,LGH,LGT,MXA,MXH,MXT,URB,OTHER,WTD-AV,Scenario
AFG,Afghanistan,SA,dmi,1.0068,0,1.0252,0.9982,0,1.0002,0.9838,1.0229,1.007,historical
AGO,Angola,SSA,dmi,0.9833,0.9923,0.9975,0.9868,0.9973,0.998,0.923,0.9883,0.9858,historical
ALB,Albania,EUR,dmi,0,0,1.0189,1.018,1.0077,1.0211,0,1.0145,1.0141,historical
ARE,UAE,WANA,dmi,0.9414,0,0,0,0,0,0.9416,0,0.9414,historical
ARG,Argentina,SAM,dmi,1.0021,0.9875,1.0133,0.9974,0.999,1.0312,0.9968,0.9803,0.9937,historical
ARM,Armenia,WANA,dmi,1.0204,0,1.0154,1.0267,0,1.0238,0,1.0257,1.024,historical
AUS,Australia,EAP,dmi,0.965,0.9933,1.0196,1.0044,1.0113,1.012,0.9966,0.9974,0.9833,historical
AUT,Austria,EUR,dmi,0,0,0,0,0,1.0217,1.0268,1.0259,1.0248,historical
AZE,Azerbaijan,WANA,dmi,1.0169,0,0,1.0192,0,1.0014,0.9988,0,1.0039,historical
BDI,Burundi,SSA,dmi,0,0,0,0,0.9923,0.9984,0,0.9979,0.9976,historical
BEL,Belgium,EUR,dmi,0,0,0,0,0,1.0199,1.0194,1.0215,1.0199,historical
BEN,Benin,SSA,dmi,0.9109,0.9086,0,0.911,0.9033,0,0.905,0,0.9097,historical
BFA,Burkina Faso,SSA,dmi,0.9149,0.9109,0,0.9143,0.908,0,0,0,0.9143,historical
BGD,Bangladesh,SA,dmi,0,0,0,0,0.9337,0,0.9392,0.9442,0.9341,historical
BGR,Bulgaria,EUR,dmi,0,0,1.0132,1.0186,0,1.0166,1.0169,1.0183,1.0172,historical
BIH,Bosnia & Herzogovina,EUR,dmi,0,0,0,1.0192,1.0157,1.0198,0,1.0207,1.0199,historical
BLR,Belarus,EUR,dmi,0,0,1.0273,0,0,1.0247,1.0244,1.0245,1.0246,historical
BLZ,Belize,CAM,dmi,0,0,0,0,0,0,0,0.9309,0.9309,historical
BOL,Bolivia,SAM,dmi,0.9955,0.9175,1.0141,0.9435,0.9366,1.0202,0.9313,0.9367,0.9436,historical
BRA,Brazil,SAM,dmi,0.9337,0.9483,0.9964,0.9389,0.9478,0.9965,0.9613,0.928,0.9426,historical
BRN,Brunei Darussalam,SEA,dmi,0,0,0,0,0.9057,0,0,0.9084,0.9076,historical
BTN,Bhutan,SA,dmi,1.0401,0,1.0229,0,0.9689,1.008,0,1.017,0.9864,historical
BWA,Botswana,SSA,dmi,0.9703,0,0,0.9748,0,0,0,0.9564,0.9712,historical
CAF,Central African Rep,SSA,dmi,0.9332,0.9468,0,0.9289,0.9287,0,0,0.9339,0.9443,historical
CAN,Canada,NAM,dmi,1.0444,0,1.0314,0,0,1.0278,1.026,1.0301,1.029,historical
CHE,Switzerland,EUR,dmi,1.0368,0,0,0,0,1.0218,1.0232,1.0283,1.0259,historical
CHL,Chile,SAM,dmi,1.0203,1.0201,1.0255,1.0155,1.0206,1.0309,1.0178,1.0237,1.0209,historical
CHN,China,EAP,dmi,1.0385,0.9582,1.0295,1.0135,0.9826,1.0052,0.9956,0.9997,1.0025,historical
CIV,Cote d'Ivoire,SSA,dmi,0.9199,0.9172,0,0.9171,0.9133,0,0,0.9079,0.9159,historical
CMR,Cameroon,SSA,dmi,0.9228,0.9636,0.9884,0.9212,0.9728,0.9887,0,0.9382,0.9565,historical
COD,Dem Rep of Congo,SSA,dmi,0.9809,0.9414,0.9941,0,0.969,0.9996,0.9347,0.9365,0.9523,historical
COG,Congo,SSA,dmi,0,0.9335,0,0,0.9331,0,0.9267,0.932,0.9328,historical
COL,Colombia,SAM,dmi,0.9638,0.9184,0.9947,0.9038,0.9225,1.0033,0.9511,0.9445,0.9398,historical
CRI,Costa Rica,CAM,dmi,0,0,0,0,0.9232,0.9996,0.9365,0.9331,0.9331,historical
CUB,Cuba,CAM,dmi,0,0,0,0,0.9281,0,0.9234,0.932,0.9287,historical
CYP,Cyprus,WANA,dmi,0.992,0,0,0.9787,0,0,0.9782,0,0.9807,historical
CZE,Czech Republic,EUR,dmi,0,0,0,0,0,1.0217,1.0231,1.0231,1.0226,historical
DEU,Germany,EUR,dmi,0,0,0,0,0,1.021,1.0208,1.0216,1.0211,historical
DJI,Djibouti,SSA,dmi,0.9214,0,0,0,0,0,0,0,0.9214,historical
DNK,Denmark,EUR,dmi,0,0,0,0,0,1.0235,1.0237,1.0237,1.0236,historical
DMA,Dominica,CAM,dmi,0,0,0,0,0.9393,0,0,0.9521,0.9426,historical
DZA,Algeria,WANA,dmi,0.9698,0,0,1.0004,1.0024,1.0086,0.9987,0.9985,0.9907,historical
ECU,Ecuador,SAM,dmi,0.9782,0.9609,1.0011,0.9324,0.9452,1.01,0.9662,0.9793,0.9712,historical
EGY,Egypt,WANA,dmi,0.9658,0,0,0.9735,0,0,0.97,0,0.9682,historical
ERI,Eritrea,SSA,dmi,0.9246,0,0,0.9537,0,0.99,0,0,0.9492,historical
ESP,Spain,EUR,dmi,1.012,0,1.0219,1.0076,0.9949,1.0203,1.0126,1.0163,1.0129,historical
EST,Estonia,EUR,dmi,0,0,1.0289,0,0,1.0283,0,1.0282,1.0283,historical
ETH,Ethiopia,SSA,dmi,0.9409,0.9801,0.9878,0.9739,0.995,0.9996,0.9973,0.9956,0.9885,historical
FIN,Finland,EUR,dmi,0,0,1.0395,0,0,1.0325,1.0311,1.0321,1.0321,historical
FRA,France,EUR,dmi,1.0184,1.0168,1.0196,1.0175,1.0179,1.019,1.0179,1.0196,1.0184,historical
GAB,Gabon,SSA,dmi,0,0.9273,0,0,0.9313,0,0,0.9227,0.9239,historical
GBR,UK,EUR,dmi,0,0,1.0267,1.0233,1.0215,1.0235,1.0232,1.0268,1.0238,historical
GEO,Georgia,WANA,dmi,1.0074,0,1.0274,1.0134,1.0116,1.0236,1.0186,1.028,1.0208,historical
GHA,Ghana,SSA,dmi,0.9085,0.9067,0,0.9073,0.9054,0,0.9031,0.9041,0.9064,historical
GIN,Guinea,SSA,dmi,0.9268,0.9327,0,0.9232,0.9341,0,0,0.9102,0.9294,historical
GMB,Gambia,SSA,dmi,0,0,0,0.9182,0,0,0,0,0.9182,historical
GNB,Guinea-Bissau,SSA,dmi,0.917,0.9198,0,0.9164,0.9094,0,0,0,0.917,historical
GNQ,Equatorial Guinea,SSA,dmi,0,0,0,0,0.9356,0,0,0.9345,0.9346,historical
GRC,Greece,EUR,dmi,1.0112,0,1.0121,1.0104,0,1.0126,1.0096,1.0141,1.0115,historical
GTM,Guatemala,CAM,dmi,0,0,0,0,0.9387,0.9989,0,0.955,0.9526,historical
GUY,Guyana,SAM,dmi,0,0.9101,0,0,0,0,0.9037,0.9143,0.9135,historical
HND,Honduras,CAM,dmi,0,0.9047,0,0.9704,0.9634,0,0,0.9497,0.956,historical
HRV,Croatia,EUR,dmi,0,0,0,1.0176,1.0134,1.0176,0,1.0169,1.0172,historical
HTI,Haiti,CAM,dmi,0,0,0,0,0.9399,0.9762,0.9295,0.9472,0.941,historical
HUN,Hungary,EUR,dmi,0,0,0,0,0,1.0179,1.0179,1.0179,1.0179,historical
IDN,Indonesia,SEA,dmi,0,0.9192,0.9935,0.9154,0.9119,0.9599,0.9118,0.9232,0.915,historical
IND,India,SA,dmi,0.9559,0.9773,1.0336,0.936,0.9388,1.006,0.9356,0.9425,0.9386,historical
IRL,Ireland,EUR,dmi,0,1.0237,1.0238,0,1.0233,1.0235,1.0228,1.0242,1.0235,historical
IRN,Iran,SA,dmi,1,0,1.0176,0.9978,0.9776,1.0103,0.9955,1.0006,0.9991,historical
IRQ,Iraq,WANA,dmi,0.9671,0,0,0.9666,0,1.0063,0.967,0.9792,0.9673,historical
ISL,Iceland,EUR,dmi,0,0,1.0358,0,0,0,1.0332,1.037,1.0358,historical
ISR,Israel,WANA,dmi,0.9809,0,0,0.9851,0,1.0028,0.9808,0,0.9836,historical
ITA,Italy,EUR,dmi,1.0223,0,0,1.0095,1.0064,1.0124,1.0121,1.0215,1.0135,historical
JAM,Jamaica,CAM,dmi,0,0,0,0,0.9574,0,0,0.9152,0.9304,historical
JOR,Jordan,WANA,dmi,0.9939,0,0,0.9883,0,0,0.9882,0,0.9927,historical
JPN,Japan,EAP,dmi,0,0,1.028,0.9983,1.0001,1.024,1.0033,1.0156,1.013,historical
KAZ,Kazakhstan,WANA,dmi,0,0,1.0193,0,0,1.0238,1.0215,1.0293,1.0204,historical
KEN,Kenya,SSA,dmi,0.9271,0.9391,0.9993,0.9793,0.9833,0.998,0.9992,0.9677,0.9647,historical
KGZ,Kyrgyzstan,WANA,dmi,1.0302,0,1.0288,0,0,1.0268,1.0337,1.038,1.0292,historical
KHM,Cambodia,SEA,dmi,0,0.9113,0,0,0.9063,0,0,0.9105,0.9076,historical
KOR,South Korea,SEA,dmi,0,0,0,0,0,1.0084,1.008,1.0142,1.0106,historical
KWT,Kuwait,WANA,dmi,0.9542,0,0,0.9497,0,0,0.9522,0,0.9525,historical
LAO,Laos,SEA,dmi,0,0.9579,0.9724,0,0.9365,0,0,0.9437,0.9434,historical
LBN,Lebanon,WANA,dmi,0,0,0,1.0044,0,1.0154,0,0,1.0078,historical
LBR,Liberia,SSA,dmi,0,0,0,0,0.9243,0,0,0.9204,0.9235,historical
LBY,Libya,WANA,dmi,0.9795,0,0,0.9715,0,0,0.9686,0.9981,0.9797,historical
LKA,Sri Lanka,SA,dmi,0,0,0,0,0.9038,0,0,0.9169,0.9082,historical
LSO,Lesotho,SSA,dmi,0,0,1.0179,0,0,1.0142,0,0,1.0145,historical
LTU,Lithuania,EUR,dmi,0,0,1.0252,0,0,1.0254,1.0252,1.0258,1.0254,historical
LUX,Luxembourg,EUR,dmi,0,0,0,0,0,0,0,1.0204,1.0204,historical
LVA,Latvia,EUR,dmi,0,0,1.0274,0,0,1.0267,0,1.0268,1.0268,historical
MAR,Morocco,WANA,dmi,0.993,0,0,0.9954,0,1.007,0.9915,1.002,0.9963,historical
MDG,Madagascar,SSA,dmi,0.9623,0.9826,0.9984,0.9592,0.978,1.0016,0.9381,0.9679,0.9673,historical
MEX,Mexico,CAM,dmi,0.979,0,1.0032,0.9652,0.936,0.9926,0.9588,0.97,0.9669,historical
MKD,Macedonia,EUR,dmi,0,0,1.0215,1.0185,0,0,1.0161,1.0184,1.0187,historical
MLI,Mali,SSA,dmi,0.9208,0,0,0.917,0,0,0,0.9204,0.9189,historical
MMR,Myanmar,SEA,dmi,0.9386,0.9472,0.9944,0.927,0.9294,0.9953,0.9084,0.942,0.9333,historical
MNE,Montenegro,EUR,dmi,0,0,0,0,0,1.0241,0,1.0259,1.0249,historical
MNG,Mongolia,EAP,dmi,0,0,1.034,0,0,1.0352,1.0297,1.0359,1.0346,historical
MOZ,Mozambique,SSA,dmi,0.9493,0.9549,0,0.9547,0.9584,0,0,0.9541,0.9529,historical
